ἀγορά, ἀγορᾶς, ἡ	marketplace (noun)
ἄνθρωπος, ἀνθρώπου, ὁ	man, human (noun)
δῶρον, δώρου, τό	gift (noun)
ἔργον, ἔργου, τό	work (noun)
θάλαττα, θαλάττης, ἡ	sea (noun)
θεά, θεᾶς, ἡ	goddess (noun)
θεός, θεοῦ, ὁ	god (noun)
ἵππος, ἵππου, ὁ	horse (noun)
κώμη, κώμης, ἡ	village (noun)
ξένος, ξένου, ὁ	stranger, guest (noun)
οἰκία, οἰκίας, ἡ	house (noun)
τέκνον, τέκνου, τό	child (noun)
τιμή, τιμῆς, ἡ	honor (noun)
φίλος, φίλου, ὁ	friend (noun)
ὦ	O! (inter)
ἀλλά	but, however, nevertheless (conj)
δέ	and, but (conj)
ἤ	or (conj)
ἤ ... ἤ	either ... or (conj)
καί	and (conj)
καί ... καί	both ... and (conj)
