Ἀθῆναι, Ἀθηνῶν, αἱ	Athens (noun)
ἔτος, ἔτους, τό	year (noun)
λόγος, λόγου, ὁ	word (noun)
νεανίας, νεανίου, ὁ	youth (noun)
ὁδός, ὁδοῦ, ἡ	way, road (noun)
Πέρσης, Πέρσου, ὁ	Persian (noun)
πολίτης, πολίτου, ὁ	citizen (noun)
ποταμός, ποταμοῦ, ὁ	river (noun)
στρατιώτης, στρατιώτου, ὁ	soldier (noun)
Σωκράτης, Σωκράτους, ὁ	Socrates (noun)
τεῖχος, τείχους, τό	wall (noun)
χρῆμα, χρήματος, τό	thing (noun)
χώρα, χώρας, ἡ	land, country (noun)
ἀεί	always (adv)
νῦν	now (adv)
ἀπό (+ gen.)	from, away from, of (prep)
εἰς (+ acc.)	into, onto (prep)
ἐκ (+ gen.)	out of, from (prep)
ἐν (+ gen) ἐξ before a vowel	in, on; (plural) among (prep)
πρός (+ acc.)	to, toward; in relation to (prep)
πρός (+ dat.)	near, at; in addition to (prep)
πρός (+ gen.)	from; on the side of; in favor of (prep)
οὐ, οὐκ, οὐχ, οὔ	not (part)
