βασιλεύω, βασιλεύσω, ἐβασίλευσα	reign, rule (verb)
λέγω, ἐρῶ, εἶπον	say, speak (verb)
λείπω, λείψω, ἔλιπον	leave, depart (verb)
πράττω, πράξω, ἔπραξα	do, accomplish (verb)
φεύγω, φεύξομαι, ἔφυγον	flee, escape (verb)
φυλάττω, φυλάξω, ἐφύλαξα	guard, protect (verb)
βίος, βίου, ὁ	life (noun)
ἡμέρα, ἡμέρας, ἡ	day (noun)
θάνατος, θανάτου, ὁ	death (noun)
πόλεμος, πολέμου, ὁ	war (noun)
στρατηγός, στρατηγοῦ, ὁ	general (noun)
εὔ	well (adv)
κακῶς	badly (adv)
διἀ (+ acc.)	because of, on account of (prep)
διἀ (+ gen.)	through (prep)
μετά (+ acc.)	after (prep)
μετά (+ gen.)	with (prep)
περί (+ acc.)	around (prep)
περί (+ gen.)	about, concerning (prep)
