ἄρχω, ἀρξομαι, ἦρξα	begin, command, rule (verb)
ἐθέλω, ἐθελήσομαι, ἠθέλησα	will, wish (verb)
κελεύω, κελεύσω, ἐκέλευσα	command, order (verb)
μέλλω, μελλήσω, ἐμέλλησα	intend, be about to (verb)
οἷός τέ εἰμι	am such as (verb)
ἀρχή, ἀρχῆς, ἡ	rule; empire; province; beginning (noun)
ἄρχων, ἄρχοντος, ὁ	archon, ruler, leader (noun)
Ἑλλάς, Ἑλλάδος, ἡ	Greece (noun)
κάμηλος, καμήλου, ὁ	camel (noun)
ποιητής, ποιητοῦ, ὁ	poet (noun)
δέκατος, δέκατη, δέκατον	tenth (adj)
μέγας, μεγάλη, μέγα	great, large (adj)
πᾶς, πᾶσα, πᾶν	every, all (adj)
τάλας, τάλαινα, τάλαν	wretched, miserable, suffering (adj)
πάλιν	back; again (adv)
τοτέ	at some time, ever, in the world (adv)
μή	not (part)
