ἀνήρ, ἀνδρός, ὁ	man, husband (noun)
γυνή, γυναικός, ἡ	woman, wife (noun)
δίκη, δίκης, ἡ	justice; trial, lawsuit; penalty (noun)
μήτηρ, μητρός, ἡ	mother (noun)
νὺξ, νυκτός, ἡ	night (noun)
παῖς, παιδός, τό/ὁ/ἡ	child, boy, girl  (noun)
πατήρ, πατρός, ὁ	father (noun)
πούς, ποδός, ὁ	foot (noun)
πῦρ, πυρός, τό	fire (noun)
στάδιον, σταδίου, τό	stade (3/5 of a mile) (noun)
χείρ, χειρός, ἡ	hand (noun)
χρόνος, χρόνου, ὁ	time (noun)
αὐτή	she, her (pro)
αὐτό	it (pro)
αὐτός	he, him (pro)
ἐγώ	I, me (pro)
ἡμεῖς	we, us (pro)
μηδείς	no one (in negative clauses) (pro)
μηδεμία	not any, none (in negative clauses) (pro)
μηδέν	nothing (in negative clauses) (pro)
οὐδείς	no one, nobody (pro)
οὐδεμία	not any, none (pro)
οὐδέν	nothing (pro)
σύ	you (singular) (pro)
ὑμεῖς	you (plural) (pro)
ἄλλος, ἄλλη, ἄλλο	other, another (adj)
οὔποτε	never (adv)
μήποτε	never (adv)
μηδέ	and not, but not; nor; not even (conj)
μήτε ... μήτε	neither ... nor (conj)
