ἀκούω, ἀκούσω, ἤκουσα	listen (verb)
ἀποθνήσκω, ἀποθανοῦμαι, ἀπέθανον	die (verb)
δράω, δράσω, ἔδρασα	do, act (verb)
θνήσκω, θανοῦμαι, ἔθανον	die (verb)
ὁράω, ὄψομαι, εἶδον	see (verb)
ποιέω, ποιήσω, ἐποίησα	make, do (verb)
τιμάω, τιμήσω, ἐτίμησα	honor (verb)
φιλέω, φιλήσω, ἐφίλησα	love (verb)
κατά	down from, down upon (prep)
ἄν	marks irrealis (part)
γῆ, γῆς, ἡ	earth (noun)
εἰρήνη, εἰρήνης, ἡ	peace (noun)
ἐλπίς, ἐλπίδος, ἡ	hope (noun)
Ξενοφῶν, Ξενοφῶντος, ὁ	Xenophon (noun)
σύμμαχος, συμμάχου, ὁ/ἡ	ally (noun)
εἰ	 (conj)
ἐπεἰ῎ἐειδἠ	if (conj)
ὄτε	when, since, after (conj)
ὄτι	when (conj)
