ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα	kill (verb)
βάλλω, βαλῶ, ἔβαλον	throw (verb)
βοηθέω, βοηθήσω, ἐβοήθησα	help (verb)
βουλέυω, βουλεύσω, ἐβούλευσα	plan (verb)
διαφθείρω, διαφθερῶ, διέφθειρα	destroy, corrupt (verb)
εἰσβάλλω, εἰσβαλῶ, εἰσέβαλον	throw into, invade (verb)
μένω, μενῶ, ἔμεινα	remain, stay; wait for (verb)
νικάω, νικήσω, ἐνίκησα	conquer (verb)
πεπιβάλλω, πεπιβαλῶ, πεπέβαλον	throw around, surround (verb)
συμβουλέω, συμβουλεύσω, συνεβούλευσα	advise (verb)
ἐπί	on, upon (prep)
ἐπί	on, at, near (prep)
ἐπί	toward, against; upon, on to, up to (prep)
ἔτος, ἔτους, τό	year (noun)
Σωκράτης, Σωκράτους, ὁ	Socrates (noun)
τεῖχος, τείχους, τό	wall (noun)
χρῆμα, χρήματος, τό	thing, matter; (pl.) goods, money (noun)
ἀληθής, ἀληθής, ἀληθές	TRUE (adj)
ἄξιος, ἀξία, ἄξιον	worthy (adj)
ἄξιος, ἀξία, ἄξιον	worthy (adj)
ἀσφαλής, ἀσφαλής, ἀσφαλές	safe (adj)
ἀσφαλής, ἀσφαλής, ἀσφαλές	safe (adj)
εὐδαίμων, εὐδαίμων, εὐδαίμον	blessed, happy (adj)
ψευδής, ψευδής, ψευδές	FALSE (adj)
