βοὐλομαι, βουλήσομαι, ἐβουλήθην	want (verb)
γίγνομαι, γενήσομαι, ἐγενόμην	become, be; happen (verb)
ἐλπίζω, ἐλπίσω, ἤλπισα	hope (verb)
ἔρχομαι, ἐλεύσομαι, ἦλθον	come; go (verb)
ἡγέομαι, ἡγήσομαι, ἡγησάμην	believe; lead, be a leader of (+ gen.) (verb)
μάχομαι, μαχήσομαι, ἐμαχησάμην	fight (against) (verb)
νομίζω, νομιῶ, ἐνόμισα	think, believe in (verb)
ὁμολογέω, ὁμολογήσω, ὡμολόγησα	agree; admit (verb)
χἀριν ἔχω	be grateful, give thanks (verb)
ἄστυ, ἄστεως, τό	town (noun)
βασίλεια, βασιλείας, ἡ	queen (noun)
βασιλεύς, βασιλέως, ὁ	king (noun)
δύναμις, δυνάμεως, ἡ	power, strength, ability (noun)
ἱππεύς, ἱππέως, ὁ	horseman, rider; charioteer; (pl.) calvary (noun)
μάχη, μάχης, ἡ	battle (noun)
πόλις, πόλεως, ἡ	city (noun)
στρατιά, στρατιᾶς, ἡ	army (noun)
φύσις, φύσεως, ἡ	nature; character, temperament; regular order of nature (noun)
χάρις, χάριτος, ἡ	grace, thanks (noun)
πολύς, πολλή, πολύ	much, many (adj)
