ἀδικέω, ἀδικήσω, ἡδίκξσα	do wrong; injure (verb)
δοκέω, δόξα, ἔδοξα	think; seem, seem good/best (verb)
εὑρίσκω, εὑρήσω, ηὖρον/εὖρον	find, discover (verb)
ζητέω, ζητήσω, ἐζἠτησα	seek, look for; investigate (verb)
ἥδομαι, ἥδησομαι	enjoy, be glad, delight in (+ dat.) (verb)
τυγχάνω, τεύξομαι, ἔτυχον	happen to (+ part.); meet, happen upon (+ gen.) (verb)
χαίρω, χαιρπησω, ἐχαἰρησα	enjoy, rejoice (at); be glad (verb)
ἀνάγκη, ἀνάγκης, ἡ	necessity (noun)
νόμος, νόμου, ὁ	law, custom, tradition (noun)
σῶμα, σώματος, τό	body (noun)
τέλος, τέλους, τό	end; aim (noun)
υἱός, υἱοῦ, ὁ	son (noun)
ψυχή, ψυχῆς, ἡ	soul (noun)
ἄδικος, ἄδικον	unjust (adj)
ἀθάνατος, ἀθάνατον	immortal (adj)
σώφρων, σῳφρον	prudent, sensible; self-controlled (adj)
εὐθύς	immediately (adv)
ποῦ	where (adv)
