τρέφω, θρέψω, ἔθρεψα	nourish, feed; rear,educate (verb)
ἀλήθεια, ἀληθείας, ἡ	truth (noun)
δεσπότης, δεσπότου, ὁ	master, lord (noun)
τέχνη, τέχνης, ἡ	art, skill,craft (noun)
φόβος, φόβου, ὁ	fear,panic (noun)
ἀλλήλων, ἀλλήλων, ἀλλήλων	one another, each other (reciprocal) (pro)
ἐκεῖνος, ἐκείνη, ἐκεῖνο	that (one); (pl.) these (pro)
ὅδε, ἥδε, τόδε	this (one, as follows), (pl.) these (pro)
οὗτος, αὕτη, τοῦτο	this (one, already mentioned); (pl.) these (pro)
βραχύς, βραχεῖα, βραχύ	short, brief (adj)
ἡδύς, ἡδεῖα, ἡδύ	sweet, pleasant (adj)
μόνος, μόνη, μόνον	alone, single (adj)
νέος, νέα, νέον	new; young (adj)
ταχύς, ταχεῖα, ταχύ	fast, quick, swift (adj)
μόνον	only (adv)
εἶτα, ἔπειτα (ἐπι + εἷτα)	then, next (adv)
μάλιστα	very much, most; especially; certainly (adv)
τῷ ὄντι	in fact, really (adv)
δή (postpos.)	indeed, really (part)
