δεῖ ( impf. ἔδει) (impers.)	it is necessary, one must (verb)
δίδωμι, δώσω, ἔδωκα, ..., ἐδόθην	give, grant (verb)
δίκην δίδωμι	pay a penalty (verb)
ἔξεστι (+ dat.)	it is possible (for) (verb)
ἵημι, ἤσω, -ῆκα, ..., εἵθην	throw; throw at (+ gen.); utter (words) (verb)
ἀφίημι, ἀφήσω, ἀφῆκα, ..., ἀφέθην	throw away; send away, let go, get rid of (verb)
ἵστημι, στήσω, ἔστησα (trans) / ἔστην (intrans.), ..., ἐστάθην	(trans). make stand, set, place; appoint establish; (intrans.) stand (verb)
τίθημι, θήσω, ἔθηκα, ..., ἐτέθην	put, place; assign, award; establish, make (verb)
φημί, φήσω, ἔφησα/ἔφην, ..., ἐρρήθην	say, assert (verb)
οὔ φημι	say not, deny (verb)
χρή (impers.)	it is necessary, it is right; one ought (verb)
ἀρετή, ἀρετῆς, ἡ	excellence; virtue; bravery (noun)
κίνδυνος, κινδύνου, ὁ	danger (noun)
κριτής, κριτοῦ, ὁ	judge (noun)
πλῆθος, πλήθους, τό	crowd; number, amount (noun)
τύχη, τύχης, ἡ	luck, fortune (good or bad); fate, chance (noun)
πολλάκις	often (adv)
πρό (+ gen.)	before, in front of (prep)
