"form"	"translation"	"chapter"
"σοφός, σοφή, σοφόν"	"wise"	6
"ἀγαθός, ἀγαθή, ἀγαθόν"	"good"	6
"Ἀθηναῖος, Ἀθηναίa, Ἀθηναίου"	"Athenian"	6
"δίκαιος, δικαία, δίκαιον"	"just, righteous"	6
"κακός, κακή, κακόν"	"bad, evil"	6
"καλός, καλή, καλόν"	"beautiful, good"	6
"μακρός, μακρά, μακρόν"	"long"	6
"μικρός, μικρά, μικρόν"	"small, little"	6
"δέκατος, δέκατη, δέκατον"	"tenth"	8
"μέγας, μεγάλη, μέγα"	"great, large"	8
"πᾶς, πᾶσα, πᾶν"	"every, all"	8
"τάλας, τάλαινα, τάλαν"	"wretched, miserable, suffering"	8
"ἄλλος, ἄλλη, ἄλλο"	"other, another"	9
"ἀληθής, ἀληθής, ἀληθές"	"true"	11
"ἄξιος, ἀξία, ἄξιον"	"worthy"	11
"ἀσφαλής, ἀσφαλής, ἀσφαλές"	"safe"	11
"ἄξιος, ἀξία, ἄξιον"	"worthy"	11
"ἀσφαλής, ἀσφαλής, ἀσφαλές"	"safe"	11
"εὐδαίμων, εὐδαίμων, εὐδαίμον"	"blessed, happy"	11
"ψευδής, ψευδής, ψευδές"	"false"	11
