"form"	"translation"	"chapter"
"ἀπό"	"from, away from, of"	4
"εἰς"	"into, onto"	4
"ἐκ"	"out of, from"	4
"ἐν"	"in, on; (plural) among"	4
"πρὀς"	"from; on the side of; in favor of"	4
"πρὀς"	"near, at; in addition to"	4
"πρὀς"	"to, toward; in relation to"	4
"διἀ"	"through"	5
"διἀ"	"because of, on account of"	5
"μετά"	"with"	5
"μετά"	"after"	5
"περί"	"about, concerning"	5
"περί"	"around"	5
"σὖν"	"with"	7
"κατά"	"down from, down upon"	10
"ἐπί"	"on, upon"	11
"ἐπί"	"on, at, near"	11
"ἐπί"	"toward, against; upon, on to, up to"	11
