form	translation	chapter
βλάπτω, βλάψω, ἔβλαψα	harm, injure, damage	2
γράφω, γράψω, ἔγραψα	write	2
διδάσκω, διδάξω, ἐδίδαξα	teach	2
διώκω, διώξω, ἔδίωξα	pursue	2
θύω, θύσω, ἔθυσα	sacrifice, make a sacrifice	2
λύω, λύσω, ἔλυσα	release, set free; undo, destroy	2
παύω, παύσω, ἔπαυσα	stop	2
πείθω, πείσω, ἔπεισα	persuade	2
πέμπω, πέμψω, ἔπεμψα	send	2
στρατεύω, στρατεύσω, ἐστράτευσα	march; wage war	2
σῴζω, σώσω, ἔσωσα	save	2
βασιλεύω, βασιλεύσω, ἐβασίλευσα	reign, rule	5
λέγω, ἐρῶ, εἶπον	say, speak	5
λείπω, λείψω, ἔλιπον	leave, depart	5
πράττω, πράξω, ἔπραξα	do, accomplish	5
φεύγω, φεύξομαι, ἔφυγον	flee, escape	5
φυλάττω, φυλάξω, ἐφύλαξα	guard, protect	5
ἄγω, ἄξω, ἤγαγον	lead, bring	7
εἰμί, ἔσθμαι (present enc. excep 2 sg imperf. ἦν,	be	7
'ἔχω, ἔξω/σχήσω, ἔσχον (impf. εἶχον, have		7
λαμβάνω, λήψομαι, ἔλαβον	take, seize, receive	7
ὀνομάξω, ὀνομάσω, ὠνὀμασα	name, call by name, call X and X (2 acc)	7
φέρω, οἴσω, ὠωὀμασα	carry, bear, bring	7
ἄρχω, ἀρξομαι, ἦρξα	begin, command, rule	8
ἐθέλω, ἐθελήσομαι, ἠθέλησα	will, wish	8
κελεύω, κελεύσω, ἐκέλευσα	command, order	8
μέλλω, μελλήσω, ἐμέλλησα	intend, be about to	8
οἷός τέ εἰμι	am such as	8
ἀκούω, ἀκούσω, ἤκουσα	listen	10
ἀποθνήσκω, ἀποθανοῦμαι, ἀπέθανον	die	10
θνήσκω, θανοῦμαι, ἔθανον	die	10
δράω, δράσω, ἔδρασα	do, act	10
ὁράω, ὄψομαι, εἶδον	see	10
ποιέω, ποιήσω, ἐποίησα	make, do	10
τιμάω, τιμήσω, ἐτίμησα	honor	10
φιλέω, φιλήσω, ἐφίλησα	love	10
ἀποκτείνω, ἀποκτενῶ, ἀπέκτεινα	I kill	11
βάλλω, βαλῶ, ἔβαλον	I throw	11
εἰσβάλλω, εἰσβαλῶ, εἰσέβαλον	I throw in	11
πεπιβάλλω, πεπιβαλῶ, πεπέβαλον	I impose	11
βοηθέω, βοηθήσω, ἐβοήθησα	I help	11
βουλέω, βουλήσω, ἐβουλήθην	I wish, I want	11
συμβουλέω, συμβουλεύσω, συνεβούλευσα	I advise	11
διαφθείρω, διαφθερῶ, διέφθειρα	I destroy	11
μένω, μενῶ, ἔμεινα	I stay	11
νικάω, νικήσω, ἐνίκησα	I conquer	11
βοὐλομαι, βουλήσομαι, ἐβουλήθην	I want	12
γίγνομαι, γενήσομαι, ἐγενόμην	I become	12
ἐλπίζω, ἐλπίσω, ἤλπισα	I hope	12
ἔρχομαι, ἐλεύσομαι, ἦλθον	I come	12
ἡγέομαι, ἡγήσομαι, ἡγησάμην	I lead	12
μάχομαι, μαχήσομαι, ἐμαχησάμην	I fight	12
νομίζω, νομιῶ, ἐνόμισα	I think	12
ὁμολογέω, ὁμολογήσω, ὡμολόγησα	I agree	12
χἀριν ἔχω	be grateful, give thanks	12
ἀδικἐω, ἀδικήσω, ἡδίκξσα	do wrong; injure	13
δοκέω, δόξα, ἔδοξα	think; seem, seem good/best	13
εὐρίσκω, εὐρήσω, ηὖρον/εὖρον	find, discover	13
ζξτέω, ζητήσω, ἐζἠτησα	seek, look for; investigate	13
ἥδομαι, ἥδησομαι	enjoy, be glad, delight in (+ dat.)	13
τυγχἀνω, τεύξ, ἔτυχον	happen to (+ part.); meet, happen upon (+ gen.)	13
χαίρω, χαιρπησω, ἐχαἰρησα	enjoy, rejoice (at); be glad	13
